Which comic characters are painted by Bill Finger?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:Bill_Finger  . ?uri rdf:type dbo:ComicsCharacter}

What is the ethnicity of the Maike Evers and state of origin of the Theodor Hillenhinrichs ?	 SELECT DISTINCT ?uri WHERE { dbr:Maike_Evers dbo:ethnicity ?uri. dbr:Theodor_Hillenhinrichs dbo:stateOfOrigin ?uri}

Is N. C. Wyeth the illustration by of The Mysterious Stranger?	ASK WHERE { dbr:The_Mysterious_Stranger dbp:illustrator dbr:N._C._Wyeth }

List the awards given to the key people in Pixar ?	SELECT DISTINCT ?uri WHERE { dbr:Pixar dbp:keyPeople ?x . ?x dbo:award ?uri  . }

Which fictional character portrayed in Terminator 2: Judgment Day is painted by Josh Friedman?	SELECT DISTINCT ?uri WHERE {?uri dbo:portrayer dbr:Terminator_2:_Judgment_Day . ?uri dbo:creator dbr:Josh_Friedman  . ?uri rdf:type dbo:FictionalCharacter}

What is the common ethnicity of the Maike Evers and Francisco Lachowski ?	SELECT DISTINCT ?uri WHERE { dbr:Maike_Evers dbo:ethnicity ?uri. dbr:Francisco_Lachowski dbo:ethnicity ?uri . }

Count the different religions followed by Second Lieutenants in military.	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:militaryRank dbr:Second_lieutenant . ?x dbo:religion ?uri  . }

What is the base currency of the country which operates the Marion Dufresne?	SELECT DISTINCT ?uri WHERE { dbr:Marion_Dufresne_(1995) dbo:operator ?x . ?x dbo:currency ?uri  . }

Journals of how many fields can be found in US?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:country dbr:United_States . ?x dbp:discipline ?uri  . }

What nicknames do the universities in Norton Massachusetts have?	SELECT DISTINCT ?uri WHERE { ?x dbp:city dbr:Norton_Massachusetts . ?x dbp:nickname ?uri  . ?x rdf:type dbo:University}

What is the official residence of the senator who is the deputy of Everett Dirksen?	SELECT DISTINCT ?uri WHERE { dbr:Everett_Dirksen dbp:deputy ?x . ?x dbo:residence ?uri  . ?x rdf:type dbo:Senator}

Which  office holder's resting place is Alta Mesa Memorial Park and Henry E. Catto Jr. as predecessor ?	SELECT DISTINCT ?uri WHERE {?uri dbp:restingPlace dbr:Alta_Mesa_Memorial_Park . ?uri dbp:predecessor dbr:Henry_E._Catto_Jr.  . ?uri rdf:type dbo:OfficeHolder}

Name the movie whose producer is Michael Deeley and music is given by Vangelis ?	SELECT DISTINCT ?uri WHERE {?uri dbo:producer dbr:Michael_Deeley . ?uri dbp:music dbr:Vangelis  . ?uri rdf:type dbo:Film}

People born in Saint-Amand-en-Puisaye are famous for what things ?	SELECT DISTINCT ?uri WHERE { ?x dbo:birthPlace dbr:Saint-Amand-en-Puisaye . ?x dbp:knownFor ?uri  . }

Radios on what topics can be tuned in to in Washington DC?	SELECT DISTINCT ?uri WHERE { ?x dbo:broadcastArea dbr:Washington_D.C. . ?x dbo:programmeFormat ?uri  . ?x rdf:type dbo:RadioStation}

List the goverener of Winston Bryant?	 SELECT DISTINCT ?uri WHERE { dbr:Winston_Bryant dbp:governor ?uri }

Name the movie whose director is Stanley Kubrick and editor is Anthony Harvey?	SELECT DISTINCT ?uri WHERE {?uri dbo:editing dbr:Anthony_Harvey . ?uri dbo:director dbr:Stanley_Kubrick  . ?uri rdf:type dbo:Film}

Name the musician who was given label by Celluloid Records and has been associated with Africa'70 ?	SELECT DISTINCT ?uri WHERE {?uri dbp:label dbr:Celluloid_Records . ?uri dbo:associatedMusicalArtist dbr:Africa_'70_(band)  . ?uri rdf:type dbo:MusicalArtist}

What is the country where Sergei Ovchinnikov the volleyball player die and Gumus was first aired ?	 SELECT DISTINCT ?uri WHERE { dbr:Gümüş_(TV_series) dbp:firstAired ?uri. dbr:Sergei_Ovchinnikov_(volleyball) dbp:placeOfDeath ?uri}

List all the movies whose directors were born in Kenosha Wisconsin?	SELECT DISTINCT ?uri WHERE { ?x dbo:birthPlace dbr:Kenosha_Wisconsin . ?uri dbp:director ?x  . }

List down the TV shows whose producer is Stephen E. Ambros and writer is John Orloff ?	SELECT DISTINCT ?uri WHERE {?uri dbo:producer dbr:Stephen_E._Ambrose . ?uri dbp:writer dbr:John_Orloff  . ?uri rdf:type dbo:TelevisionShow}

Does Walson Augustin play for the Brothers Union?	ASK WHERE { dbr:Walson_Augustin dbp:currentclub dbr:Brothers_Union }

What are the prizes won by the animator of The Skeleton Dance ?	SELECT DISTINCT ?uri WHERE { dbr:The_Skeleton_Dance dbo:animator ?x . ?x dbo:award ?uri  . }

List the Swedish newspaper headquarted in Stockholm ? 	SELECT DISTINCT ?uri WHERE {?uri dbp:language dbr:Swedish_language . ?uri dbp:headquarters dbr:Stockholm  . ?uri rdf:type dbo:Newspaper}

Which educational institutes have campuses at Iowa and Indiana ?	SELECT DISTINCT ?uri WHERE { ?uri dbo:campus dbr:Iowa . ?uri dbo:campus dbr:Indiana . ?uri rdf:type dbo:EducationalInstitution}

What mascot of the Galatasaray Handball Team is also the team name of Cristo Rey Jesuit high School ?	 SELECT DISTINCT ?uri WHERE { dbr:Cristo_Rey_Jesuit_High_School_(Chicago) dbp:teamName ?uri. dbr:Galatasaray_Handball_Team dbp:mascot ?uri}

List down the associated musical artist of the writer of Rain Is a Good Thing ?	SELECT DISTINCT ?uri WHERE { dbr:Rain_Is_a_Good_Thing dbp:writer ?x . ?x dbo:associatedMusicalArtist ?uri  . }

Which countries led by Elizabeth II?	SELECT DISTINCT ?uri WHERE {?uri dbp:leaderName dbr:Elizabeth_II  . ?uri rdf:type dbo:Country}

Who is the developer of Dart (programming language) ?	 SELECT DISTINCT ?uri WHERE { dbr:Dart_(programming_language) dbp:developer ?uri }

How many different writers have written for Jump Square?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:magazine dbr:Jump_Square . ?x dbp:author ?uri  . }

Which official residence of hugh Scott is also the origin of Long Rifle ?	 SELECT DISTINCT ?uri WHERE { dbr:Long_rifle dbp:origin ?uri. dbr:Hugh_Scott dbo:residence ?uri}

What is the base currency of the Benelux which can be used in Republic of Montenegro?	SELECT DISTINCT ?uri WHERE { dbr:Benelux dbp:currency ?uri. dbr:Republic_of_Montenegro_(1992–2006) dbp:currency ?uri . }

How many politicians reside in Cape Town?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbp:residence dbr:Cape_Town  . ?uri rdf:type dbo:OfficeHolder}

Who wrote the mangas produced by Masahike Minami?	SELECT DISTINCT ?uri WHERE { ?x dbp:producer dbr:Masahiko_Minami . ?x dbo:author ?uri  . ?x rdf:type dbo:Manga}

Who is the political figure whose military branch is Colonial troops?	 SELECT DISTINCT ?uri WHERE {?uri dbo:militaryBranch dbr:Colonial_troops }

How many architects are there who have made something used by Oakland athletics?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:tenant dbr:Oakland_Athletics . ?x dbp:architect ?uri  . }

Who has canonized someone who's a doctor of the church?	SELECT DISTINCT ?uri WHERE { ?x dbp:titles dbr:Doctor_of_the_Church . ?x dbo:canonizedBy ?uri  . }

Give me all magazines whose founder died in Berkeley California?	SELECT DISTINCT ?uri WHERE { ?x dbo:deathPlace dbr:Berkeley_California . ?uri dbo:founder ?x  . ?uri rdf:type dbo:Magazine}

Give me a count of musical artists collaborating with Waylon Jennings?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:associatedMusicalArtist dbr:Waylon_Jennings  . ?uri rdf:type dbo:MusicalArtist}

Cologny and Lancy are the neighboring municipalities of which place ?	SELECT DISTINCT ?uri WHERE { ?uri dbp:neighboringMunicipalities dbr:Cologny . ?uri dbp:neighboringMunicipalities dbr:Lancy . ?uri rdf:type dbo:Place}

Who are the spouse of the actors of Wrongfully Accused?	SELECT DISTINCT ?uri WHERE { dbr:Wrongfully_Accused dbo:starring ?x . ?x dbo:spouse ?uri  . }

What municipalities are adjacent to Chne-Bougeries?	SELECT DISTINCT ?uri WHERE {?uri dbp:neighboringMunicipalities dbr:Chêne-Bougeries  . }

Which scientist is known for writing Philosophi Naturalis Principia Mathematica?	 SELECT DISTINCT ?uri WHERE {?uri dbp:knownFor dbr:Philosophiæ_Naturalis_Principia_Mathematica }

What is the profession of the William Luther Hill and also the office of the Richard Coke ?	 SELECT DISTINCT ?uri WHERE { dbr:William_Luther_Hill dbo:profession ?uri. dbr:Richard_Coke dbp:office ?uri}

Which river's source mountain is Baikal Mountains and is located in Laptev Sea ?	SELECT DISTINCT ?uri WHERE {?uri dbo:sourceMountain dbr:Baikal_Mountains . ?uri dbp:mouthLocation dbr:Laptev_Sea  . ?uri rdf:type dbo:River}

What are some musical artists associated with the ones signed up with EMI?	SELECT DISTINCT ?uri WHERE { ?x dbo:recordLabel dbr:EMI . ?x dbo:associatedMusicalArtist ?uri  . ?x rdf:type dbo:MusicalArtist}

Los Angeles Lakers is the team of which basketball players?	SELECT DISTINCT ?uri WHERE {?uri dbp:team dbr:Los_Angeles_Lakers  . ?uri rdf:type dbo:BasketballPlayer}

To which state eorge M. Chilcott  belong ?	 SELECT DISTINCT ?uri WHERE { dbr:George_M._Chilcott dbp:state ?uri }

Ricky Gervais is the executive producer of the series having how many fictional characters?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:executiveProducer dbr:Ricky_Gervais . ?uri dbo:series ?x  . ?uri rdf:type dbo:FictionalCharacter}

Give me the list of people who scaled mountains in Sierra Nevada?	SELECT DISTINCT ?uri WHERE { ?x dbo:mountainRange dbr:Sierra_Nevada_(U.S.) . ?x dbo:firstAscentPerson ?uri  . }

Who studied in universities located in suburbs?	SELECT DISTINCT ?uri WHERE { ?x dbo:campus dbr:Suburb . ?uri dbp:education ?x  . }

Name the river with Readin Brekshire in its path and mouth place is Sothend-on-sea ?	SELECT DISTINCT ?uri WHERE {?uri dbp:city dbr:Reading_Berkshire . ?uri dbo:mouthPlace dbr:Southend-on-Sea  . ?uri rdf:type dbo:River}

What award has been awarded to both Dion Beebe and Charles LeMaire?	 SELECT DISTINCT ?uri WHERE { dbr:Dion_Beebe dbo:award ?uri. dbr:Charles_LeMaire dbp:awards ?uri}

What religion did the president follow which was served by Kang Young-hoon?	SELECT DISTINCT ?uri WHERE { dbr:Kang_Young-hoon dbp:president ?x . ?x dbo:religion ?uri  . }

Which is the common prospect team of Mikhail Pashnin and Robin kovacs ?	 SELECT DISTINCT ?uri WHERE { dbr:Mikhail_Pashnin dbp:prospectTeam ?uri. dbr:Robin_Kovacs dbo:prospectTeam ?uri}

Name the person whose child is Irne Joliot-Curie?	SELECT DISTINCT ?uri WHERE {?uri dbp:children dbr:Irène_Joliot-Curie  . ?uri rdf:type dbo:Person}

Which TV show's company is PlayTone and is produced by Stephen E. Ambrose ?	SELECT DISTINCT ?uri WHERE {?uri dbp:company dbr:Playtone . ?uri dbp:producer dbr:Stephen_E._Ambrose  . ?uri rdf:type dbo:TelevisionShow}

Count the different genres of games published by Titus Software	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:publisher dbr:Titus_Software . ?x dbo:genre ?uri  . }

What religions are followed by members of the societies whose architectural influences can be seen on the Sanggar Agung ?	SELECT DISTINCT ?uri WHERE { dbr:Sanggar_Agung dbp:architecturalStyle ?x . ?x dbo:religion ?uri  . }

Who is the predecessor of Voere ?	 SELECT DISTINCT ?uri WHERE { dbr:Voere dbo:predecessor ?uri }

Which stockholder of yale Repertory Theatre was training center of William Anthony ?	 SELECT DISTINCT ?uri WHERE { dbr:William_Anthony_(artist) dbo:training ?uri. dbr:Yale_Repertory_Theatre dbp:owner ?uri}

Who  won the Lovelace Medal and the Norbert Wiener Award for Social and Professional Responsibility?	SELECT DISTINCT ?uri WHERE { ?uri dbp:prizes dbr:Lovelace_Medal . ?uri dbp:prizes dbr:Norbert_Wiener_Award_for_Social_and_Professional_Responsibility . }

Where is the school which is the rival of Somerset Berkley Regional High?	SELECT DISTINCT ?uri WHERE { dbr:Somerset_Berkley_Regional_High_School dbo:rival ?x . ?x dbo:region ?uri  . ?x rdf:type dbo:School}

Which TV show's setting is in Massachusetts and is the subsequent work of Fraiser ?	SELECT DISTINCT ?uri WHERE {?uri dbo:subsequentWork dbr:Frasier . ?uri dbo:location dbr:Massachusetts  . ?uri rdf:type dbo:TelevisionShow}

Who were the american football players who played for Dallas Cowboys?	SELECT DISTINCT ?uri WHERE {?uri dbo:team dbr:Dallas_Cowboys  . ?uri rdf:type dbo:AmericanFootballPlayer}

What is the national origin of Dornier Aerodyne and Hirth Acrostar ?;	 SELECT DISTINCT ?uri WHERE { dbr:Dornier_Aerodyne dbp:nationalOrigin ?uri. dbr:Hirth_Acrostar dbo:origin ?uri}

Who is the writer of He's a Pirate ?	 SELECT DISTINCT ?uri WHERE { dbr:He's_a_Pirate dbp:writer ?uri }

Name the company whose key person is Raymond Conner and produces Boeing CH-47 Chinook?	SELECT DISTINCT ?uri WHERE {?uri dbp:keyPeople dbr:Raymond_Conner . ?uri dbp:products dbr:Boeing_CH-47_Chinook  . ?uri rdf:type dbo:Company}

How many famous people are from the Filipinos?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:stateOfOrigin dbr:Filipinos  . }

Count the number of artists in the Cirque du Soleil discography?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:Cirque_du_Soleil_discography dbp:artist ?uri  . }

In which countries is coconut used as a food ingredient?	SELECT DISTINCT ?uri WHERE { ?x dbo:ingredient dbr:Coconut . ?x dbp:country ?uri  . ?x rdf:type dbo:Food}

Who is considered to be the deciding person when it comes to crustaceans from the Balanidae family?	SELECT DISTINCT ?uri WHERE { ?x dbo:family dbr:Balanidae . ?x dbo:binomialAuthority ?uri  . ?x rdf:type dbo:Crustacean}

Where did anton ausserer die?	 SELECT DISTINCT ?uri WHERE { dbr:Anton_Ausserer dbp:deathPlace ?uri }

What is the river whose source is Lake Ontario?	SELECT DISTINCT ?uri WHERE {?uri dbo:source dbr:Lake_Ontario  . ?uri rdf:type dbo:River}

Which rivers have source origins asnorth western Zambia ?	SELECT DISTINCT ?uri WHERE {?uri dbp:sourceRegion dbr:North-Western_Province_Zambia  . ?uri rdf:type dbo:River}

Name the subsidary of Tandem Computers which was founded by Jim Harris ?	SELECT DISTINCT ?uri WHERE {?uri dbo:subsidiary dbr:Tandem_Computers . ?uri dbo:foundedBy dbr:Jim_Harris_(entrepreneur)  . ?uri rdf:type dbo:Company}

How many races has Best Mate won?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:Best_Mate dbp:race ?uri  . }

Who is  related to Kelly Osbourne & Ozzy Osbourne?	SELECT DISTINCT ?uri WHERE { ?uri dbp:relatives dbr:Kelly_Osbourne . ?uri dbp:relatives dbr:Ozzy_Osbourne . }

What has  location as Ontario?	SELECT DISTINCT ?uri WHERE {?uri dbo:location dbr:Ontario  . }

Where was  William Anthony  trained ?	 SELECT DISTINCT ?uri WHERE { dbr:William_Anthony_(artist) dbo:training ?uri }

What are some famous companies founded in the US?	SELECT DISTINCT ?uri WHERE {?uri dbo:foundationPlace dbr:United_States  . ?uri rdf:type dbo:Company}

City of Miami Cemetery is the governing body of which city?	 SELECT DISTINCT ?uri WHERE { dbr:City_of_Miami_Cemetery dbp:governingBody ?uri }

What are some things people born in Louisiana are famous for?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:placeOfBirth dbr:Louisiana . ?x dbp:knownFor ?uri  . }

Is Neungin High school a buddhist school?	ASK WHERE { dbr:Neungin_High_School dbp:religiousAffiliation dbr:Buddhism }

What is the  name of the television show whose developer is J. Michael Straczynski and actor is Jason Carter (actor)?	SELECT DISTINCT ?uri WHERE {?uri dbo:developer dbr:J._Michael_Straczynski . ?uri dbo:starring dbr:Jason_Carter_(actor)  . ?uri rdf:type dbo:TelevisionShow}

How many people have played for the ones who own the stadium of Bankers Life Fieldhouse?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:arena dbr:Bankers_Life_Fieldhouse . ?uri dbp:team ?x  . }

How many artists have their works in the Sao Paolo Museum of Art?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:museum dbr:São_Paulo_Museum_of_Art . ?x dbp:artist ?uri  . ?uri rdf:type dbo:Artist}

Count the battles fought by Raoul Magrin-Vernerey?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:Raoul_Magrin-Vernerey dbp:battles ?uri  . ?uri rdf:type dbo:MilitaryConflict}

Name the university whose athletic department is called National Collegiate Athletic Association and has a chancellor named Nicholas S. Zeppos?	SELECT DISTINCT ?uri WHERE {?uri dbo:athletics dbr:National_Collegiate_Athletic_Association . ?uri dbp:chancellor dbr:Nicholas_S._Zeppos  . ?uri rdf:type dbo:University}

Who are the people whose phD advisor was Harry Harlow?	SELECT DISTINCT ?uri WHERE {?uri dbp:doctoralAdvisor dbr:Harry_Harlow  . ?uri rdf:type dbo:Person}

What is the military branch of the William French Smith which is also the branch of Pierre R. Graham ?	 SELECT DISTINCT ?uri WHERE { dbr:William_French_Smith dbo:militaryBranch ?uri. dbr:Pierre_R._Graham dbp:branch ?uri}

Is Pulau Ubin the largest city of Singapore?	ASK WHERE { dbr:Pulau_Ubin dbo:largestCity dbr:Singapore }

Which sitcoms are made by a company headquartered in NYC?	SELECT DISTINCT ?uri WHERE { ?x dbo:headquarter dbr:New_York_City . ?uri dbo:company ?x  . ?uri rdf:type dbo:TelevisionShow}

Which mountains are contained in Inyo National Forest?	SELECT DISTINCT ?uri WHERE {?uri dbo:locatedInArea dbr:Inyo_National_Forest  . ?uri rdf:type dbo:Mountain}

In how many places have people canonized by John Paul II died?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:canonizedBy dbr:Pope_John_Paul_II . ?x dbp:deathPlace ?uri  . ?uri rdf:type dbo:Place}

Which river starts from the county seat of Heathsville Virginia?	SELECT DISTINCT ?uri WHERE { ?x dbo:countySeat dbr:Heathsville_Virginia . ?uri dbp:mouthLocation ?x  . ?uri rdf:type dbo:River}

Where were sverre krogh sundbo and havard vad petersson born?	 SELECT DISTINCT ?uri WHERE { dbr:Sverre_Krogh_Sundbø dbp:birthPlace ?uri. dbr:Håvard_Vad_Petersson dbp:placeOfBirth ?uri}

where is the thorington train station located?	 SELECT DISTINCT ?uri WHERE { dbr:Thorington_railway_station dbo:district ?uri }

Which arena of WPC Dynamo Moscow is the death palce of Mikhail Voronin ?	 SELECT DISTINCT ?uri WHERE { dbr:WPC_Dynamo_Moscow dbp:arena ?uri. dbr:Mikhail_Voronin dbp:deathPlace ?uri}

How many theme musics have been composed by Julian Gingell?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbp:themeMusicComposer dbr:Julian_Gingell  . }

Name the company founded in US and created Visual Studio ?	SELECT DISTINCT ?uri WHERE {?uri dbp:foundation dbr:United_States . ?uri dbp:products dbr:Microsoft_Visual_Studio  . ?uri rdf:type dbo:Company}

What are the musicals whose musicians worked under Sony Music Entertainment?	SELECT DISTINCT ?uri WHERE { ?x dbp:label dbr:Sony_Music_Entertainment . ?uri dbp:music ?x  . ?uri rdf:type dbo:Musical}

What is the place of the Geography Club (play) which is also the  official residence of the Scott Berkun?	 SELECT DISTINCT ?uri WHERE { dbr:Geography_Club_(play) dbp:place ?uri. dbr:Scott_Berkun dbp:residence ?uri}

What are the albums whose artists have performed with the Tangerine Dream?	SELECT DISTINCT ?uri WHERE { ?x dbo:associatedBand dbr:Tangerine_Dream . ?uri dbp:artist ?x  . ?uri rdf:type dbo:Album}

Which house has published books about Jazz?	SELECT DISTINCT ?uri WHERE { ?x dbo:nonFictionSubject dbr:Jazz . ?x dbo:publisher ?uri  . ?x rdf:type dbo:Book}

List the award which have been won by both Charles LeMaire and Nick Park ?	SELECT DISTINCT ?uri WHERE { dbr:Charles_LeMaire dbo:award ?uri. dbr:Nick_Park dbo:award ?uri . }

Count the number of members of the organization which have Austria as one of the member ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:membership dbr:Austria . ?x dbp:membership ?uri }

Name some relatives of the people studied in Manurewa High School?	SELECT DISTINCT ?uri WHERE { ?x dbo:school dbr:Manurewa_High_School . ?x dbo:relative ?uri  . }

Gregg Toland cinematographed how many things?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:cinematography dbr:Gregg_Toland  . }

Whose military unit is 39th infantry regiment in 1812?	SELECT DISTINCT ?uri WHERE {?uri dbo:militaryUnit dbr:39th_Infantry_Regiment_(War_of_1812)  . }

Is Darcs released with a GNU license?	ASK WHERE { dbr:Darcs dbo:license dbr:GNU }

List the current members of Metro Station (band) ?	 SELECT DISTINCT ?uri WHERE { dbr:Metro_Station_(band) dbp:currentMembers ?uri }

Which sucessor of George Madison is the sucessor of levi Lincoln Sr. ?	 SELECT DISTINCT ?uri WHERE { dbr:George_Madison dbo:relation ?uri. dbr:Levi_Lincoln_Sr. dbp:successor ?uri}

Who is the builder of Presidio Santa Cruz de Terrenate ?	 SELECT DISTINCT ?uri WHERE { dbr:Presidio_Santa_Cruz_de_Terrenate dbo:builder ?uri }

What team is famous for Robert Nederlander and also the debuting team of Gary Sanchez?	SELECT DISTINCT ?uri WHERE { dbr:Robert_Nederlander dbo:knownFor ?uri. dbr:Gary_Sánchez dbo:debutTeam ?uri . ?uri rdf:type dbo:SportsTeam}

What is the award which is presented by Swedish Academy?	SELECT DISTINCT ?uri WHERE {?uri dbp:presenter dbr:Swedish_Academy  . ?uri rdf:type dbo:Award}

What is the common profession of DeWitt Clinton and Claiborne Pell ?	 SELECT DISTINCT ?uri WHERE { dbr:DeWitt_Clinton dbp:office ?uri. dbr:Claiborne_Pell dbo:profession ?uri}

Which politicians died in cities built by the Roman emperor Charles 5?	SELECT DISTINCT ?uri WHERE { ?x dbo:builder dbr:Charles_V_Holy_Roman_Emperor . ?uri dbo:deathPlace ?x  . ?uri rdf:type dbo:OfficeHolder}

List the ingredients of Kaszanka?	 SELECT DISTINCT ?uri WHERE { dbr:Kaszanka dbo:ingredient ?uri }

Which broad cast area od CFRX is the country of North America Poker Tour ?	 SELECT DISTINCT ?uri WHERE { dbr:CFRX dbo:broadcastArea ?uri. dbr:North_American_Poker_Tour dbo:country ?uri}

Which scientist was advised by John Robert Woodyard?	SELECT DISTINCT ?uri WHERE {?uri dbp:doctoralAdvisor dbr:John_Robert_Woodyard  . ?uri rdf:type dbo:Scientist}

What religion did Gamini Seneviratne follow?	 SELECT DISTINCT ?uri WHERE { dbr:Gamini_Seneviratne dbo:religion ?uri }

How many bacterias have taxonomy as Bacillales and domain as Bacteria? 	 SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:order dbr:Bacillales . ?uri dbp:domain dbr:Bacteria }

Were the bodies involved in the Westroads mall shootings discovered in Nebraska?	ASK WHERE { dbr:Westroads_Mall_shooting dbp:bodyDiscovered dbr:Nebraska }

In how many places are Marjas found?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:title dbr:Marja' . ?x dbo:location ?uri  . ?uri rdf:type dbo:Location}

What products do US companies make?	SELECT DISTINCT ?uri WHERE { ?x dbo:location dbr:United_States . ?x dbo:product ?uri  . ?x rdf:type dbo:Company}

Which animator of The Skeleton Dance is also the animator of the Tommy Tucker's Tooth ?	 SELECT DISTINCT ?uri WHERE { dbr:The_Skeleton_Dance dbo:animator ?uri. dbr:Tommy_Tucker's_Tooth dbp:animator ?uri}

What is the common religious affiliation of the Wickramabahu Central College (National School) and that of  Vesak?	 SELECT DISTINCT ?uri WHERE { dbr:Wickramabahu_Central_College_(National_School) dbp:religiousAffiliation ?uri. dbr:Vesak dbo:type ?uri}

Name the mountain range in which the mountain peak of Malatraix belongs?	SELECT DISTINCT ?uri WHERE { dbr:Malatraix dbo:parentMountainPeak ?x . ?x dbo:mountainRange ?uri  . }

List education institute of the engineers whose alma mater is ChristChurch ?	SELECT DISTINCT ?uri WHERE { ?x dbo:education dbr:Christchurch . ?x dbo:education ?uri  . ?x rdf:type dbo:Engineer}

What is the headquarters of the public transit system which is the system of Bottineau LRT ?	SELECT DISTINCT ?uri WHERE { dbr:Bottineau_LRT dbp:system ?x . ?x dbp:headquarters ?uri  . ?x rdf:type dbo:PublicTransitSystem}

What is the place of birth of the jockey who breeded De La Rose ?	SELECT DISTINCT ?uri WHERE { dbr:De_La_Rose dbo:breeder ?x . ?x dbp:birthPlace ?uri  . ?x rdf:type dbo:Jockey}

How many people are in the England national football team?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbp:nationalteam dbr:England_national_football_team  . }

Who is  venerated in  Judaism and Islam?	SELECT DISTINCT ?uri WHERE { ?uri dbo:veneratedIn dbr:Judaism . ?uri dbo:veneratedIn dbr:Islam . }

What are some shows whose voice actors play the piano?	SELECT DISTINCT ?uri WHERE { ?x dbo:instrument dbr:Piano . ?uri dbp:voices ?x  . ?uri rdf:type dbo:TelevisionShow}

Where is the building located whose architect was Francis Palmer Smith?	SELECT DISTINCT ?uri WHERE { ?x dbo:architect dbr:Francis_Palmer_Smith . ?x dbp:address ?uri  . ?x rdf:type dbo:Building}

Which child of Jack Ferguson became a Prime Minister?	SELECT DISTINCT ?uri WHERE { dbr:Jack_Ferguson dbo:child ?x . ?x dbp:primeminister ?uri  . }

Naval station mobile and naval support activity naples are under which branch of Us military?	SELECT DISTINCT ?uri WHERE { dbr:Naval_Station_Mobile dbo:type ?uri. dbr:Naval_Support_Activity_Naples dbo:type ?uri . ?uri rdf:type dbo:MilitaryUnit}

How many members are there of the order of Bacillales?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:order dbr:Bacillales  . }

Name the team manger of Middlebrough F.C season 2006-07 ?	 SELECT DISTINCT ?uri WHERE { dbr:2006–07_Middlesbrough_F.C._season dbo:manager ?uri }

In which fields are the graduates of Worcester College Oxford working?	SELECT DISTINCT ?uri WHERE { ?x dbp:almaMater dbr:Worcester_College_Oxford . ?x dbo:field ?uri  . }

What sports can be played in institutions in Bataan?	SELECT DISTINCT ?uri WHERE { ?x dbp:province dbr:Bataan . ?x dbo:sport ?uri  . }

Who was in missions of Gemini 8 and Apollo 11?	SELECT DISTINCT ?uri WHERE { ?uri dbp:mission dbr:Gemini_8 . ?uri dbp:mission dbr:Apollo_11 . }

Who founded the league which was won by Joe McKeehen?	SELECT DISTINCT ?uri WHERE { ?x dbp:champion dbr:Joe_McKeehen . ?x dbp:founded ?uri  . ?x rdf:type dbo:SportsLeague}

Give me some nominees of politicians in the US?	SELECT DISTINCT ?uri WHERE { ?x dbo:residence dbr:United_States . ?x dbo:nominee ?uri  . ?x rdf:type dbo:OfficeHolder}

To what did the parliament member swore her oath to whose has sons is Lohan Ratwatte?	SELECT DISTINCT ?uri WHERE { ?x dbo:child dbr:Lohan_Ratwatte . ?x dbp:allegiance ?uri  . ?x rdf:type dbo:MemberOfParliament}

In which races have Tillingdale's horses participated?	SELECT DISTINCT ?uri WHERE { ?x dbp:owner dbr:Tillingdale . ?x dbp:race ?uri  . ?x rdf:type dbo:Horse}

Which country's national motto is Truth prevails?	SELECT DISTINCT ?uri WHERE {?uri dbp:nationalMotto dbr:Truth_prevails  . ?uri rdf:type dbo:Country}

What is the alma mater of Andrew W. Lewis ?	 SELECT DISTINCT ?uri WHERE { dbr:Andrew_W._Lewis dbo:almaMater ?uri }

Name the tv series produced by Stephen Ambrose and Erik Bork?	SELECT DISTINCT ?uri WHERE { ?uri dbo:producer dbr:Stephen_E._Ambrose . ?uri dbo:producer dbr:Erik_Bork . ?uri rdf:type dbo:TelevisionShow}

